エリア,対象分類,2月1日,2月2日,2月3日,2月4日,2月5日,2月6日,2月7日,2月8日,2月9日,2月10日,2月11日,2月12日,2月13日,2月14日,2月15日,2月16日,2月17日,2月18日,2月19日,2月20日,2月21日,2月22日,2月23日,2月24日,2月25日,2月26日,2月27日,2月28日,2月29日,3月1日,3月2日,3月3日,3月4日,3月5日,3月6日,3月7日,3月8日,3月9日,3月10日,3月11日,3月12日,3月13日,3月14日,3月15日,3月16日,3月17日,3月18日,3月19日,3月20日,3月21日,3月22日,3月23日,3月24日,3月25日,3月26日,3月27日,3月28日,3月29日,3月30日,3月31日,4月1日,4月2日,4月3日,4月4日,4月5日,4月6日,4月7日,4月8日
目黒区,来訪者,166000,133000,229000,235000,232000,238000,242000,164000,133000,225000,141000,233000,238000,243000,162000,124000,230000,232000,231000,234000,240000,158000,131000,131000,229000,228000,226000,229000,144000,111000,210000,213000,206000,211000,215000,134000,102000,211000,210000,211000,214000,219000,130000,116000,217000,217000,214000,223000,141000,144000,120000,216000,218000,218000,220000,208000,110000,77700,198000,195000,183000,188000,189000,106000,80400,182000,172000,156000
大田区,全体,906000,871000,1004000,1011000,1008000,1012000,1016000,907000,868000,988000,888000,1009000,1013000,1017000,907000,867000,1005000,1006000,1003000,1010000,1015000,905000,870000,878000,1001000,1002000,998000,999000,884000,848000,982000,983000,976000,981000,984000,875000,837000,979000,978000,976000,983000,983000,869000,850000,985000,983000,986000,990000,882000,883000,856000,984000,986000,985000,988000,977000,858000,818000,968000,967000,953000,956000,957000,852000,816000,951000,941000,920000
大田区,住人,706000,706000,706000,706000,706000,706000,706000,706000,706000,706000,706000,706000,706000,706000,706000,706000,706000,706000,706000,706000,706000,706000,706000,706000,706000,706000,706000,706000,706000,708000,708000,708000,708000,708000,708000,708000,708000,708000,708000,708000,708000,708000,708000,708000,708000,708000,708000,708000,708000,708000,708000,708000,708000,708000,708000,708000,708000,708000,708000,708000,707000,707000,707000,707000,707000,707000,707000,707000
大田区,来訪者,200000,165000,298000,305000,302000,306000,310000,201000,162000,282000,182000,303000,307000,311000,201000,161000,299000,300000,297000,304000,309000,199000,164000,172000,295000,296000,292000,293000,178000,140000,274000,275000,268000,273000,276000,167000,129000,271000,270000,268000,275000,275000,161000,142000,277000,275000,278000,282000,174000,175000,148000,276000,278000,277000,280000,269000,150000,110000,260000,259000,246000,249000,250000,145000,109000,244000,234000,213000
世田谷区,全体,1112000,1068000,1177000,1181000,1178000,1182000,1187000,1108000,1065000,1172000,1077000,1179000,1181000,1191000,1107000,1059000,1181000,1180000,1177000,1181000,1189000,1109000,1069000,1072000,1179000,1177000,1176000,1181000,1088000,1045000,1160000,1163000,1154000,1161000,1169000,1083000,1035000,1161000,1158000,1159000,1166000,1170000,1077000,1053000,1167000,1167000,1168000,1175000,1095000,1098000,1059000,1166000,1170000,1169000,1171000,1164000,1057000,1007000,1153000,1150000,1136000,1144000,1149000,1054000,1014000,1138000,1131000,1111000
世田谷区,住人,880000,880000,880000,880000,880000,880000,880000,880000,880000,880000,880000,880000,880000,880000,880000,880000,880000,880000,880000,880000,880000,880000,880000,880000,880000,880000,880000,880000,880000,881000,881000,881000,881000,881000,881000,881000,881000,881000,881000,881000,881000,881000,881000,881000,881000,881000,881000,881000,881000,881000,881000,881000,881000,881000,881000,881000,881000,881000,881000,881000,881000,881000,881000,881000,881000,881000,881000,881000
世田谷区,来訪者,232000,188000,297000,301000,298000,302000,307000,228000,185000,292000,197000,299000,301000,311000,227000,179000,301000,300000,297000,301000,309000,229000,189000,192000,299000,297000,296000,301000,208000,164000,279000,282000,273000,280000,288000,202000,154000,280000,277000,278000,285000,289000,196000,172000,286000,286000,287000,294000,214000,217000,178000,285000,289000,288000,290000,283000,176000,126000,272000,269000,255000,263000,268000,173000,133000,257000,250000,230000
渋谷区,全体,524000,459000,724000,729000,726000,732000,738000,522000,454000,706000,474000,729000,734000,744000,522000,441000,725000,722000,718000,726000,734000,508000,453000,453000,718000,715000,709000,713000,480000,415000,684000,684000,672000,680000,683000,463000,401000,681000,676000,674000,683000,686000,457000,418000,688000,687000,683000,696000,474000,478000,426000,687000,689000,687000,685000,657000,403000,341000,644000,639000,620000,618000,618000,390000,341000,604000,583000,531000
渋谷区,住人,213000,213000,213000,213000,213000,213000,213000,213000,213000,213000,213000,213000,213000,213000,213000,213000,213000,213000,213000,213000,213000,213000,213000,213000,213000,213000,213000,213000,213000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000,214000
渋谷区,来訪者,311000,246000,511000,516000,513000,519000,525000,309000,241000,493000,261000,516000,521000,531000,309000,228000,512000,509000,505000,513000,521000,295000,240000,240000,505000,502000,496000,500000,267000,201000,470000,470000,458000,466000,469000,249000,187000,467000,462000,460000,469000,472000,243000,204000,474000,473000,469000,482000,260000,264000,212000,473000,475000,473000,471000,443000,189000,127000,430000,425000,406000,404000,404000,176000,127000,390000,369000,317000
